train_no,train_name,distance,source_station_name,departure_time,day_of_departure,destination_station_name,arrival_time,day_of_arrival
6047,MAS-QLN SPL,34100,CHENNAI CENTRAL,07:00:00,Friday,QUILON,06:55:00,Friday
6048,QLN- MAS SPL,464,QUILON,09:07:00,Tuesday,CHENNAI CENTRAL,09:05:00,Tuesday
6049,MS-QLN SPL F,492,CHENNAI EGMORE,09:34:00,Monday,QUILON,09:32:00,Monday
6050,QLN-MS  SPL,513,QUILON,10:30:00,Wednesday,CHENNAI EGMORE,10:30:00,Friday
6053,KCVL-MAJN S/,100,KOCHUVELI,14:05:00,Saturday,MANGALORE JN,14:05:00,Monday
6054,MAJN-KCVL S/,2100,MANGALORE JN,14:59:00,Sunday,KOCHUVELI,14:57:00,Tuesday
6057,SRC-MAS  SPL,48,SANTRAGACHI JN.,15:30:00,Friday,CHENNAI CENTRAL,15:28:00,Friday
6058,MAS-SRC  EXP,16100,CHENNAI CENTRAL,17:22:00,Tuesday,SANTRAGACHI JN.,17:17:00,Tuesday
6065,CGL-MDU SPL,238,CHENGALPATTU,18:30:00,Monday,MADURAI JN,18:20:00,Monday
6066,MDU-CGL SPL,268,MADURAI JN,18:54:00,Tuesday,CHENGALPATTU,18:52:00,Tuesday
6067,CGL-CBE TRI-,371,CHENGALPATTU,21:35:00,Sunday,COIMBATORE  JN.,21:30:00,Tuesday
6068,CBE-CGL TRI-,449,COIMBATORE  JN.,22:43:00,Saturday,CHENGALPATTU,22:40:00,Monday
6081,CBE-POY PASS,486,COIMBATORE  JN.,23:25:00,Friday,POLLACHI,23:20:00,Friday
6082,POY-CBE PASS,51003,POLLACHI,00:20:00,Thursday,COIMBATORE  JN.,00:20:00,Saturday
6412,DSJ-PAY EZHI,100,DELHI-SAFDAR JANG,01:10:00,Friday,PAYYANUR,01:10:00,Friday
6512,MKM-BAND ONE,17,MARIKUPPAM,01:35:00,Wednesday,BANASWADI,01:33:00,Friday
6513,BWT-MKM-MEMU,54,BANGARPET JN.,02:13:00,Sunday,MARIKUPPAM,02:10:00,Tuesday
6541,YPR-PVR WEEK,131,YESVANTPUR JN.,04:00:00,Sunday,PANDHARPUR,03:53:00,Tuesday
6542,PVR-YPR WEEK,235,PANDHARPUR,05:08:00,Wednesday,YESVANTPUR JN.,05:06:00,Friday
6547,YPR-ERS WEEK,264,YESVANTPUR JN.,05:40:00,Thursday,ERNAKULAM. JN,05:30:00,Saturday
6548,ERS-YPR WEEK,34100,ERNAKULAM. JN,07:00:00,Wednesday,YESVANTPUR JN.,06:55:00,Friday
6579,YPR-VSKP WKY,464,YESVANTPUR JN.,09:07:00,Friday,VISAKHAPATNAM,09:05:00,Friday
6580,VSKP-YPR WKY,492,VISAKHAPATNAM,09:34:00,Tuesday,YESVANTPUR JN.,09:32:00,Tuesday
6581,YPR-BGM TATK,545,YESVANTPUR JN.,10:36:00,Thursday,BELGAUM,10:34:00,Saturday
6582,BGM-YPR TATK,563,BELGAUM,11:00:00,Monday,YESVANTPUR JN.,11:00:00,Monday
6591,YPR-HSRA PAS,100,YESVANTPUR JN.,19:50:00,Monday,HOSUR,19:50:00,Monday
6592,HSRA-YPR PAS,75,HOSUR,20:53:00,Tuesday,YESVANTPUR JN.,20:50:00,Tuesday
6593,WFD-BYPL DEM,11005,WHITE FIELD,21:18:00,Sunday,BAIYYAPPANAHALLI,21:15:00,Tuesday
6594,BYPL-WFD DEM,125,BAIYYAPPANAHALLI,21:35:00,Saturday,WHITE FIELD,21:34:00,Monday
6595,YPR-CBP PASS,171,YESVANTPUR JN.,22:40:00,Saturday,DEVANHALLI,22:37:00,Monday
6596,CBP-YPR PASS,25100,DEVANHALLI,23:45:00,Tuesday,YESVANTPUR JN.,23:42:00,Tuesday
6647,KRBA-BSP PAS,287,KORBA,00:15:00,Friday,BILASPUR JN.,00:13:00,Friday
6648,BSP-KRRBA PA,339,BILASPUR JN.,00:55:00,Friday,KORBA,00:53:00,Friday
6769,PGTN-PLNI PA,394,PALGHAT TOWN,02:00:00,Wednesday,PALANI,01:50:00,Friday
6770,PLNI-PGTN PA,418,PALANI,02:30:00,Thursday,PALGHAT TOWN,02:28:00,Saturday
6851,KIK-NCR DEMU,511,KARAIKAL,03:30:00,Wednesday,NAGORE,03:28:00,Friday
6852,NCR-KIK DEMU,578,NAGORE,04:30:00,Sunday,KARAIKAL,04:28:00,Tuesday
6853,KIK-NCR PASS,651,KARAIKAL,05:30:00,Thursday,NAGORE,05:28:00,Saturday
6854,NCR-KIK PASS,71002,NAGORE,07:05:00,Monday,KARAIKAL,06:50:00,Monday
6919,UBL-BJP SPL,785,HUBLI JN.,09:13:00,Saturday,BIJAPUR JN,09:11:00,Monday
6920,BJP-UBL SPL,82100,BIJAPUR JN,10:15:00,Monday,HUBLI JN.,10:10:00,Monday
7005,HYB-RXL,897,HYDERABAD DECCAN,13:00:00,Sunday,RAXAUL JN.,12:55:00,Tuesday
7006,RXL-HYB,11001001,RAXAUL JN.,14:12:00,Saturday,HYDERABAD DECCAN,14:10:00,Monday
7007,SC-DBG,11003100,SECUNDERABAD JN.,14:44:00,Sunday,DARBHANGA JN.,14:42:00,Tuesday
7008,DBG-SC,111006,DARBHANGA JN.,16:15:00,Wednesday,SECUNDERABAD JN.,16:10:00,Friday
7016,KCG-VSKP,123100,KACHEGUDA,17:56:00,Saturday,VISAKHAPATNAM,17:54:00,Monday
7044,VSKP HSP,1258,TIRUPATI,18:22:00,Monday,VISAKHAPATNAM,18:20:00,Monday
7061,COA-VLNK,1311,KAKINADA PORT,19:36:00,Tuesday,VIJAYWADA JN.,19:34:00,Tuesday
7062,VLNK-BZA,1329,VIJAYWADA JN.,20:30:00,Friday,KAKINADA PORT,20:30:00,Friday
7075,HYB-COA,100,SECUNDERABAD JN.,21:30:00,Wednesday,KAKINADA TOWN,21:30:00,Friday
7076,COA-HYB,17,KAKINADA TOWN,21:48:00,Thursday,SECUNDERABAD JN.,21:46:00,Saturday
7109,HYB-QLN,7100,HYDERABAD DECCAN,22:42:00,Thursday,QUILON,22:40:00,Saturday
7110,QLN-HYB,98,QUILON,23:10:00,Monday,HYDERABAD DECCAN,23:08:00,Monday
7113,KRMR-QLN,21100,KARIM NAGAR,01:10:00,Wednesday,QUILON,01:05:00,Friday
7133,HYB-GNT-QLN,288,HYDERABAD DECCAN,02:32:00,Thursday,QUILON,02:30:00,Saturday
7134,QLN-GNT-HYB,318,QUILON,03:10:00,Saturday,HYDERABAD DECCAN,03:08:00,Monday
7141,HYB-QLN,421,HYDERABAD DECCAN,05:05:00,Thursday,QUILON,05:00:00,Saturday
7142,QLN-HYB,498,QUILON,06:25:00,Sunday,HYDERABAD DECCAN,06:20:00,Tuesday
7146,TPTY-KCG,533,TIRUPATI,07:35:00,Friday,KACHEGUDA,07:33:00,Friday
7149,SC-GHY HSP,617,SECUNDERABAD JN.,09:40:00,Thursday,GUWAHATI,09:25:00,Saturday
7211,CCT-QLN,667,KAKINADA TOWN,10:22:00,Tuesday,QUILON,10:20:00,Tuesday
7212,QLN-COA,74100,QUILON,11:17:00,Friday,KAKINADA TOWN,11:15:00,Friday
7213,BZA-QLN,81007,VIJAYWADA JN.,12:20:00,Friday,QUILON,12:18:00,Friday
7214,QLN-BZA,9100100,QUILON,13:20:00,Tuesday,VIJAYWADA JN.,13:18:00,Tuesday
7217,NS-QLN,924,NARASAPUR,13:55:00,Friday,QUILON,13:45:00,Friday
7218,QLN-NS,979,QUILON,14:35:00,Monday,NARASAPUR,14:33:00,Monday
7410,TPTY-AK,110032,TIRUPATI,15:10:00,Saturday,AURANGABAD,15:08:00,Monday
7417,TPTY-NSL HSP,110069,TIRUPATI,15:43:00,Monday,NAGARSOL,15:40:00,Monday
7418,NSL-TPTY HSP,1148,NAGARSOL,17:35:00,Monday,TIRUPATI,17:32:00,Monday
7425,KCG--COA HSP,1193,KACHEGUDA,18:10:00,Saturday,KAKINADA PORT,18:09:00,Monday
7426,COA-KCG HSP,1213,KAKINADA PORT,18:27:00,Sunday,KACHEGUDA,18:24:00,Tuesday
7429,SC-TPTY,1243,SECUNDERABAD JN.,19:03:00,Wednesday,TIRUPATI,19:00:00,Friday
7430,TPTY-SC,1319,TIRUPATI,22:00:00,Thursday,SECUNDERABAD JN.,22:00:00,Saturday
7431,CCT-TPTY,100,KAKINADA TOWN,22:30:00,Friday,TIRUPATI,22:30:00,Friday
7432,TPTY-CCT,17,TIRUPATI,22:46:00,Tuesday,KAKINADA TOWN,22:44:00,Tuesday
7435,COA-HYB,49,KAKINADA TOWN,23:20:00,Sunday,SECUNDERABAD JN.,23:18:00,Tuesday
7436,SC-COA,7100,SECUNDERABAD JN.,23:40:00,Saturday,KAKINADA TOWN,23:38:00,Monday
7438,KCG-TATA HSP,98,KACHEGUDA,00:12:00,Tuesday,TATANAGAR JN,00:10:00,Tuesday
7439,TATA-KCG HSP,21100,TATANAGAR JN,02:00:00,Tuesday,KACHEGUDA,01:55:00,Tuesday
7487,TPTY-VSKP,246,TIRUPATI,02:34:00,Wednesday,VISAKHAPATNAM,02:32:00,Friday
7505,AWB-QLN,288,AURANGABAD,03:16:00,Wednesday,QUILON,03:14:00,Friday
7509,ADB-QLN,318,ADILABAD,03:40:00,Thursday,QUILON,03:38:00,Saturday
7517,BIDAR-PVR,421,BIDAR,06:45:00,Thursday,PANDHARPUR,06:40:00,Saturday
7525,NJP - NBQ DE,498,SILIGURI JN.,08:00:00,Tuesday,NEW BONGAIGAON  JN.,07:55:00,Tuesday
7526,NBQ - NJP DE,536,NEW BONGAIGAON  JN.,09:30:00,Tuesday,SILIGURI JN.,09:28:00,Tuesday
7603,KCG-KJM HSP,56100,KACHEGUDA,10:13:00,Wednesday,KRISHNA RAJA PURAM,10:10:00,Friday
7604,KJM-KCG HSP,569,KRISHNA RAJA PURAM,10:30:00,Wednesday,KACHEGUDA,10:30:00,Friday
7607,NED-TPTY HOL,100,NANDED,19:50:00,Saturday,TIRUPATI,19:50:00,Monday
7608,TPTY-NED,78,TIRUPATI,20:53:00,Monday,NANDED,20:50:00,Monday
7613,sabarimalai,11008,NIZAMABAD,21:18:00,Tuesday,QUILON,21:15:00,Tuesday
7614,sabarimalai,128,QUILON,21:36:00,Sunday,NIZAMABAD,21:35:00,Tuesday
7644,tpty spl,174,KAKINADA TOWN,22:40:00,Sunday,TIRUPATI,22:37:00,Tuesday
7645,RU-CCT,252,RENIGUNTA JN.,23:45:00,Thursday,KAKINADA TOWN,23:42:00,Saturday
7757,SC-BZA  SPL,29100,SECUNDERABAD JN.,00:15:00,Sunday,VIJAYWADA JN.,00:13:00,Tuesday
7758,BZA-SC  SPL,342,VIJAYWADA JN.,00:55:00,Tuesday,SECUNDERABAD JN.,00:53:00,Tuesday
7941,CCT-TPTY HSP,397,KAKINADA TOWN,02:00:00,Monday,RENIGUNTA JN.,01:50:00,Monday
7942,TPTY-COASPL,421,TIRUPATI,02:30:00,Wednesday,KAKINADA TOWN,02:28:00,Friday
8001,KGP-JGM BI-W,514,KHARAGPUR,03:30:00,Tuesday,JHARGRAM,03:28:00,Tuesday
8002,JGM-KGP BI-W,581,JHARGRAM,04:30:00,Thursday,KHARAGPUR,04:28:00,Saturday
8014,MDN-KGP MEMU,654,MIDNAPORE,05:30:00,Monday,KHARAGPUR,05:28:00,Monday
8017,KGP-JGM MEMU,71005,KHARAGPUR,07:05:00,Sunday,JHARGRAM,06:50:00,Tuesday
8018,JGM-KGP MEMU,788,JHARGRAM,09:13:00,Tuesday,KHARAGPUR,09:11:00,Tuesday
8035,BLS - KGP DE,823,KHARAGPUR,10:15:00,Saturday,BALASORE,10:10:00,Monday
8036,BLS - KGP ME,9100100,BALASORE,13:00:00,Sunday,KHARAGPUR,12:55:00,Tuesday
8051,KGP JGM MEMU,11001004,KHARAGPUR,14:32:00,Thursday,JHARGRAM,14:30:00,Saturday
8052,JGM KGP MEMU,110033,JHARGRAM,14:46:00,Saturday,KHARAGPUR,14:44:00,Monday
8061,SHM JP SPL W,110076,SHALIMAR,15:28:00,Friday,JAIPUR JN.,15:26:00,Friday
8062,JP SHM SPL W,111009,JAIPUR JN.,16:15:00,Wednesday,SHALIMAR,16:10:00,Friday
8063,KGP-BQA DEMU,1233,KHARAGPUR,18:12:00,Sunday,BANKURA,18:10:00,Tuesday
8064,BQA-KGP DEMU,1261,BANKURA,18:36:00,Monday,KHARAGPUR,18:34:00,Monday
8065,KGP-BQA MEMU,1282,KHARAGPUR,19:16:00,Tuesday,BANKURA,19:14:00,Tuesday
8082,BQA-VSU MEMU,1314,BANKURA,19:50:00,Sunday,BISHNUPUR,19:48:00,Tuesday
8087,VSU-BQA MEMU,1332,BISHNUPUR,21:30:00,Wednesday,BANKURA,21:30:00,Friday
8101,CBSA CKP DEM,100,CHAIBASA,18:50:00,Friday,CHAKARADHARPUR,18:50:00,Friday
8102,CKP-CBSA DEM,63,CHAKARADHARPUR,19:57:00,Wednesday,CHAIBASA,19:55:00,Friday
8301,SBP-BAND WEE,12100,SAMBALPUR JN.,21:50:00,Sunday,BANASWADI,21:20:00,Tuesday
