Train_No,Train_Name,distance,Source_Station_Name,departure_time,day_of_departure,Destination_Station_Name,arrival_time,day_of_arrival
4831,JU HW SPL,1265,JODHPUR JN.,15:15:44,Sunday,HARIDWAR JN,02:50:17,Friday
4832,HW JU SPL,1283,HARIDWAR JN,21:07:18,Wednesday,JODHPUR JN.,12:13:05,Monday
4851,MTD RTGH SPL,1224,MERTA ROAD JN.,19:25:34,Thursday,RATANAGARH JN,11:47:16,Sunday
4852,RTGH MTD SPL,2294,RATANAGARH JN,19:15:12,Monday,MERTA ROAD JN.,04:11:27,Thursday
4853,RTGH CUR SPL,2483,RATANAGARH JN,08:18:01,Monday,CHURU,07:44:00,Friday
4854,CUR RTGH SPL,957,CHURU,04:27:46,Monday,RATANAGARH JN,19:03:49,Friday
4921,SRE-UMB MEMU,362,SAHARANPUR JN.,18:01:43,Tuesday,AMBALA CANTT JN,02:43:36,Friday
4922,UMB-SRE MEMU,2854,AMBALA CANTT JN,00:32:18,Tuesday,SAHARANPUR JN.,06:31:41,Sunday
4991,PTK-JAT DEMU,397,PATHANKOT JN.,13:42:06,Wednesday,JAMMU TAWI,05:42:15,Wednesday
4992,JAT-PTK DEMU,1758,JAMMU TAWI,16:43:35,Sunday,PATHANKOT JN.,14:22:05,Saturday
5061,GKP - BNY SP,51,GORAKHPUR JN.,09:55:56,Wednesday,BARHNI,08:29:28,Monday
5062,BNY - GKP SP,186,BARHNI,03:57:00,Monday,GORAKHPUR JN.,06:06:09,Sunday
5065,CPR-LJN,1553,CHHAPRA JN.,17:53:12,Thursday,LUCKNOW JN.,14:07:01,Saturday
5066,LJN-CPR-EXP,2591,LUCKNOW JN.,12:31:11,Saturday,CHHAPRA JN.,14:39:14,Thursday
5105,GKP-BST SPL,2884,GORAKHPUR JN.,20:51:52,Wednesday,BASTI,10:28:12,Tuesday
5106,BST-GKP SPL,73,BASTI,23:06:47,Monday,GORAKHPUR JN.,12:06:54,Thursday
5305,CPA-FBD EXP,2642,KANPUR ANWARGANJ,16:45:41,Thursday,FARRUKHABAD JN,19:05:23,Monday
5306,FBD- CPA EXP,1149,FARRUKHABAD JN,06:24:25,Saturday,KANPUR ANWARGANJ,04:03:58,Monday
5309,BC-LKU SPL,2166,BAREILLY CITY,11:54:59,Friday,LALKUA JN.,18:45:55,Sunday
5310,LKU-BC EXP,2933,LALKUA JN.,10:29:48,Wednesday,BAREILLY CITY,08:22:20,Wednesday
5521,JMP-SHC SPEC,2161,JAMALPUR JN.,00:24:34,Saturday,SAHARSA JN.,17:26:28,Friday
5522,SHC-JMP SPEC,1474,SAHARSA JN.,08:28:30,Monday,JAMALPUR JN.,03:18:24,Tuesday
5613,JLWC-KOTA SP,2479,JHALAWAR CITY,22:38:56,Sunday,KOTA,17:00:56,Friday
5614,KOTA-JLWC SP,2492,KOTA,15:04:19,Sunday,JHALAWAR CITY,21:55:48,Wednesday
5619,NLP - MZS PA,2230,NORTH LAKHIMPUR,13:19:12,Thursday,MURKEONG SELEK,03:37:00,Monday
5620,MZS - NLP PA,386,MURKEONG SELEK,01:13:15,Tuesday,NORTH LAKHIMPUR,15:57:44,Wednesday
5631,GHY - SCL PA,2732,GUWAHATI,04:59:07,Wednesday,SILCHAR,20:50:43,Saturday
5632,SCL - GHY PA,81,SILCHAR,03:19:27,Friday,GUWAHATI,03:23:58,Tuesday
5715,GAREEB NAWAZ,1930,NEW JALPAIGURI JN,20:52:07,Monday,KISHANGANJ,19:42:23,Wednesday
5716,GAREEB NAWAZ,2754,KISHANGANJ,10:45:58,Thursday,NEW JALPAIGURI JN,01:41:27,Tuesday
5719,KIR - SGUJ D,389,KATIHAR JN.,04:52:28,Saturday,SILIGURI JN.,21:17:26,Friday
5720,SGUJ - KIR D,575,SILIGURI JN.,08:06:23,Tuesday,KATIHAR JN.,07:34:25,Saturday
5863,RNY - RPAN P,1175,RANGIYA JN.,22:28:36,Saturday,RANGAPARA NORTH,21:49:36,Monday
5864,RPAN - RNY P,1201,RANGAPARA NORTH,01:03:43,Saturday,RANGIYA JN.,08:18:39,Thursday
5865,RNY - MZS PA,1300,RANGIYA JN.,15:46:54,Thursday,MURKEONG SELEK,00:04:27,Sunday
5866,MZS - RNY PA,2835,MURKEONG SELEK,01:51:06,Monday,RANGIYA JN.,21:00:03,Wednesday
6001,MS-TEN SPECI,313,CHENNAI EGMORE,02:20:10,Friday,TIRUNELVELI JN,14:01:57,Saturday
6002,TEN - MS SPE,1776,TIRUNELVELI JN,10:08:13,Wednesday,CHENNAI EGMORE,14:10:41,Monday
6006,ERS-MAS SPL,2970,ERNAKULAM. JN,03:54:42,Tuesday,CHENNAI CENTRAL,13:52:34,Saturday
6009,SRC-PDY SPL,1027,SANTRAGACHI JN.,13:25:51,Tuesday,PONDICHERRY,17:50:09,Sunday
6010,PDY-SRC SPL,2985,PONDICHERRY,19:48:03,Monday,SANTRAGACHI JN.,21:34:23,Sunday
6041,MAS-QLN SPEC,96,CHENNAI CENTRAL,12:35:55,Monday,QUILON,00:19:13,Saturday
6042,QLN-MAS SPEC,2074,QUILON,17:38:42,Thursday,CHENNAI CENTRAL,05:46:21,Saturday
6043,MAS-QLN SPL,361,CHENNAI CENTRAL,13:28:00,Saturday,QUILON,20:45:35,Thursday
6044,QLN-MAS  SPL,610,QUILON,13:30:01,Friday,CHENNAI CENTRAL,18:42:23,Wednesday
6046,QLN-MAS SPEC,485,QUILON,08:29:28,Tuesday,CHENNAI CENTRAL,00:38:09,Tuesday
6047,MAS-QLN SPL,2280,CHENNAI CENTRAL,07:00:36,Friday,QUILON,01:47:11,Thursday
6048,QLN- MAS SPL,697,QUILON,13:11:29,Tuesday,CHENNAI CENTRAL,03:58:38,Monday
6049,MS-QLN SPL F,718,CHENNAI EGMORE,13:56:54,Monday,QUILON,20:26:04,Saturday
6050,QLN-MS  SPL,2775,QUILON,13:15:31,Wednesday,CHENNAI EGMORE,08:02:38,Monday
6053,KCVL-MAJN S/,2336,KOCHUVELI,01:05:56,Saturday,MANGALORE JN,17:01:01,Saturday
6054,MAJN-KCVL S/,2457,MANGALORE JN,08:57:05,Sunday,KOCHUVELI,16:15:24,Sunday
6057,SRC-MAS  SPL,2262,SANTRAGACHI JN.,12:52:35,Friday,CHENNAI CENTRAL,00:25:05,Wednesday
6058,MAS-SRC  EXP,819,CHENNAI CENTRAL,04:58:16,Tuesday,SANTRAGACHI JN.,20:49:03,Sunday
6065,CGL-MDU SPL,2937,CHENGALPATTU,22:10:08,Monday,MADURAI JN,09:05:18,Saturday
6066,MDU-CGL SPL,489,MADURAI JN,02:14:46,Tuesday,CHENGALPATTU,03:41:03,Thursday
6067,CGL-CBE TRI-,2284,CHENGALPATTU,03:44:07,Sunday,COIMBATORE  JN.,04:59:04,Tuesday
6068,CBE-CGL TRI-,722,COIMBATORE  JN.,09:06:27,Saturday,CHENGALPATTU,20:24:41,Friday
6081,CBE-POY PASS,1677,COIMBATORE  JN.,18:45:26,Friday,POLLACHI,00:41:00,Wednesday
6082,POY-CBE PASS,2805,POLLACHI,05:42:03,Thursday,COIMBATORE  JN.,02:16:34,Thursday
6412,DSJ-PAY EZHI,2782,DELHI-SAFDAR JANG,06:46:02,Friday,PAYYANUR,11:31:43,Thursday
6512,MKM-BAND ONE,921,MARIKUPPAM,08:05:48,Wednesday,BANASWADI,07:55:58,Saturday
6513,BWT-MKM-MEMU,2631,BANGARPET JN.,08:28:39,Sunday,MARIKUPPAM,07:42:01,Sunday
6541,YPR-PVR WEEK,1563,YESVANTPUR JN.,04:39:21,Sunday,PANDHARPUR,17:47:42,Wednesday
6542,PVR-YPR WEEK,2063,PANDHARPUR,07:45:47,Wednesday,YESVANTPUR JN.,16:46:12,Thursday
6547,YPR-ERS WEEK,1900,YESVANTPUR JN.,04:27:45,Thursday,ERNAKULAM. JN,22:59:30,Monday
6548,ERS-YPR WEEK,2605,ERNAKULAM. JN,14:14:37,Wednesday,YESVANTPUR JN.,23:05:25,Thursday
6579,YPR-VSKP WKY,2828,YESVANTPUR JN.,18:04:22,Friday,VISAKHAPATNAM,06:04:38,Tuesday
6580,VSKP-YPR WKY,2509,VISAKHAPATNAM,00:04:39,Tuesday,YESVANTPUR JN.,08:12:59,Monday
6581,YPR-BGM TATK,2762,YESVANTPUR JN.,14:48:53,Thursday,BELGAUM,22:00:02,Friday
6582,BGM-YPR TATK,1909,BELGAUM,07:30:47,Monday,YESVANTPUR JN.,02:43:00,Monday
6591,YPR-HSRA PAS,1567,YESVANTPUR JN.,19:13:53,Monday,HOSUR,23:53:39,Thursday
6592,HSRA-YPR PAS,85,HOSUR,04:41:31,Tuesday,YESVANTPUR JN.,14:50:09,Sunday
6593,WFD-BYPL DEM,1942,WHITE FIELD,19:05:10,Sunday,BAIYYAPPANAHALLI,11:04:53,Tuesday
6594,BYPL-WFD DEM,753,BAIYYAPPANAHALLI,18:43:03,Saturday,WHITE FIELD,18:35:19,Monday
6595,YPR-CBP PASS,636,YESVANTPUR JN.,00:13:08,Saturday,DEVANHALLI,13:49:46,Wednesday
6596,CBP-YPR PASS,141,DEVANHALLI,13:04:06,Tuesday,YESVANTPUR JN.,22:20:34,Thursday
6647,KRBA-BSP PAS,1666,KORBA,23:17:52,Friday,BILASPUR JN.,15:34:20,Friday
6648,BSP-KRRBA PA,2972,BILASPUR JN.,06:23:34,Friday,KORBA,22:36:07,Friday
6769,PGTN-PLNI PA,457,PALGHAT TOWN,22:28:54,Wednesday,PALANI,00:51:39,Sunday
6770,PLNI-PGTN PA,255,PALANI,12:15:09,Thursday,PALGHAT TOWN,22:38:30,Sunday
6851,KIK-NCR DEMU,1260,KARAIKAL,06:48:10,Wednesday,NAGORE,11:42:44,Wednesday
6852,NCR-KIK DEMU,2567,NAGORE,08:36:04,Sunday,KARAIKAL,00:26:41,Tuesday
6853,KIK-NCR PASS,2840,KARAIKAL,08:44:08,Thursday,NAGORE,09:18:10,Tuesday
6854,NCR-KIK PASS,654,NAGORE,11:08:55,Monday,KARAIKAL,21:52:52,Wednesday
6919,UBL-BJP SPL,730,HUBLI JN.,08:20:20,Saturday,BIJAPUR JN,22:25:17,Friday
6920,BJP-UBL SPL,2816,BIJAPUR JN,05:04:31,Monday,HUBLI JN.,10:35:39,Thursday
7005,HYB-RXL,2279,HYDERABAD DECCAN,19:18:17,Sunday,RAXAUL JN.,12:28:21,Tuesday
7006,RXL-HYB,644,RAXAUL JN.,11:05:24,Saturday,HYDERABAD DECCAN,17:12:50,Wednesday
7007,SC-DBG,802,SECUNDERABAD JN.,15:22:57,Sunday,DARBHANGA JN.,20:10:21,Friday
7008,DBG-SC,1400,DARBHANGA JN.,20:06:08,Wednesday,SECUNDERABAD JN.,17:21:17,Sunday
7016,KCG-VSKP,1104,KACHEGUDA,02:28:50,Saturday,VISAKHAPATNAM,07:54:19,Monday
7044,VSKP HSP,1116,TIRUPATI,08:47:56,Monday,VISAKHAPATNAM,00:45:15,Friday
7061,COA-VLNK,1186,KAKINADA PORT,10:11:11,Tuesday,VIJAYWADA JN.,05:47:43,Friday
7062,VLNK-BZA,1755,VIJAYWADA JN.,22:30:01,Friday,KAKINADA PORT,03:40:07,Saturday
7075,HYB-COA,2997,SECUNDERABAD JN.,17:45:59,Wednesday,KAKINADA TOWN,20:09:12,Wednesday
7076,COA-HYB,1551,KAKINADA TOWN,01:32:18,Thursday,SECUNDERABAD JN.,08:22:50,Thursday
7109,HYB-QLN,2630,HYDERABAD DECCAN,21:32:11,Thursday,QUILON,02:38:03,Thursday
7110,QLN-HYB,2237,QUILON,18:07:20,Monday,HYDERABAD DECCAN,04:56:20,Tuesday
7113,KRMR-QLN,2620,KARIM NAGAR,22:53:56,Wednesday,QUILON,23:09:59,Tuesday
7133,HYB-GNT-QLN,1440,HYDERABAD DECCAN,14:42:56,Thursday,QUILON,04:55:22,Friday
7134,QLN-GNT-HYB,1238,QUILON,13:39:35,Saturday,HYDERABAD DECCAN,00:49:03,Thursday
7141,HYB-QLN,1273,HYDERABAD DECCAN,22:09:58,Thursday,QUILON,07:23:52,Tuesday
7142,QLN-HYB,107,QUILON,02:18:31,Sunday,HYDERABAD DECCAN,12:57:44,Monday
7146,TPTY-KCG,970,TIRUPATI,07:24:46,Friday,KACHEGUDA,17:55:30,Sunday
7149,SC-GHY HSP,377,SECUNDERABAD JN.,08:51:53,Thursday,GUWAHATI,02:28:59,Saturday
7211,CCT-QLN,546,KAKINADA TOWN,07:08:54,Tuesday,QUILON,23:33:22,Friday
7212,QLN-COA,1049,QUILON,16:12:10,Friday,KAKINADA TOWN,04:45:15,Wednesday
7213,BZA-QLN,1097,VIJAYWADA JN.,19:16:38,Friday,QUILON,23:34:12,Friday
7214,QLN-BZA,763,QUILON,20:23:31,Tuesday,VIJAYWADA JN.,15:38:27,Saturday
7217,NS-QLN,1770,NARASAPUR,07:44:07,Friday,QUILON,13:03:30,Saturday
7218,QLN-NS,657,QUILON,09:44:11,Monday,NARASAPUR,16:54:57,Thursday
7410,TPTY-AK,1693,TIRUPATI,14:55:08,Saturday,AURANGABAD,10:30:34,Monday
7417,TPTY-NSL HSP,2224,TIRUPATI,22:36:18,Monday,NAGARSOL,09:56:25,Tuesday
7418,NSL-TPTY HSP,995,NAGARSOL,13:43:17,Monday,TIRUPATI,11:47:08,Sunday
7425,KCG--COA HSP,2521,KACHEGUDA,04:44:50,Saturday,KAKINADA PORT,09:07:31,Tuesday
7426,COA-KCG HSP,409,KAKINADA PORT,15:25:09,Sunday,KACHEGUDA,16:13:26,Friday
7429,SC-TPTY,1061,SECUNDERABAD JN.,03:02:40,Wednesday,TIRUPATI,01:56:23,Monday
7430,TPTY-SC,2541,TIRUPATI,17:15:41,Thursday,SECUNDERABAD JN.,09:19:16,Monday
7431,CCT-TPTY,2097,KAKINADA TOWN,10:19:08,Friday,TIRUPATI,07:44:13,Wednesday
7432,TPTY-CCT,1160,TIRUPATI,08:46:09,Tuesday,KAKINADA TOWN,02:12:33,Wednesday
7435,COA-HYB,1149,KAKINADA TOWN,13:01:23,Sunday,SECUNDERABAD JN.,04:34:28,Wednesday
7436,SC-COA,980,SECUNDERABAD JN.,08:04:19,Saturday,KAKINADA TOWN,14:55:01,Thursday
7438,KCG-TATA HSP,723,KACHEGUDA,00:56:44,Tuesday,TATANAGAR JN,05:53:50,Thursday
7439,TATA-KCG HSP,1848,TATANAGAR JN,02:00:54,Tuesday,KACHEGUDA,16:39:44,Monday
7487,TPTY-VSKP,1512,TIRUPATI,12:19:58,Wednesday,VISAKHAPATNAM,19:20:17,Saturday
7505,AWB-QLN,1131,AURANGABAD,14:38:00,Wednesday,QUILON,14:52:39,Friday
7509,ADB-QLN,1847,ADILABAD,22:21:22,Thursday,QUILON,21:07:28,Tuesday
7517,BIDAR-PVR,1761,BIDAR,09:36:05,Thursday,PANDHARPUR,02:30:04,Wednesday
7525,NJP - NBQ DE,2405,SILIGURI JN.,05:17:10,Tuesday,NEW BONGAIGAON  JN.,10:17:41,Monday
7526,NBQ - NJP DE,2260,NEW BONGAIGAON  JN.,06:31:16,Tuesday,SILIGURI JN.,05:47:36,Tuesday
7603,KCG-KJM HSP,2220,KACHEGUDA,23:04:20,Wednesday,KRISHNA RAJA PURAM,01:02:20,Monday
7604,KJM-KCG HSP,1543,KRISHNA RAJA PURAM,20:51:27,Wednesday,KACHEGUDA,20:26:49,Tuesday
7607,NED-TPTY HOL,1776,NANDED,17:42:42,Saturday,TIRUPATI,04:21:57,Tuesday
7608,TPTY-NED,1856,TIRUPATI,18:49:48,Monday,NANDED,20:20:12,Monday
7613,sabarimalai,2524,NIZAMABAD,06:33:04,Tuesday,QUILON,16:38:19,Tuesday
7614,sabarimalai,2224,QUILON,22:47:42,Sunday,NIZAMABAD,03:32:56,Sunday
7644,tpty spl,528,KAKINADA TOWN,11:40:14,Sunday,TIRUPATI,08:25:11,Friday
7645,RU-CCT,1079,RENIGUNTA JN.,02:14:09,Thursday,KAKINADA TOWN,05:21:04,Saturday
7757,SC-BZA  SPL,504,SECUNDERABAD JN.,02:17:21,Sunday,VIJAYWADA JN.,11:58:27,Friday
7758,BZA-SC  SPL,824,VIJAYWADA JN.,20:19:52,Tuesday,SECUNDERABAD JN.,16:55:24,Wednesday
7941,CCT-TPTY HSP,932,KAKINADA TOWN,04:33:46,Monday,RENIGUNTA JN.,00:32:22,Friday
7942,TPTY-COASPL,2218,TIRUPATI,01:34:42,Wednesday,KAKINADA TOWN,21:44:34,Sunday
8001,KGP-JGM BI-W,1415,KHARAGPUR,04:31:48,Tuesday,JHARGRAM,17:17:40,Thursday
8002,JGM-KGP BI-W,311,JHARGRAM,06:46:31,Thursday,KHARAGPUR,20:38:03,Monday
8014,MDN-KGP MEMU,2383,MIDNAPORE,19:56:17,Monday,KHARAGPUR,16:24:55,Thursday
8017,KGP-JGM MEMU,615,KHARAGPUR,01:56:16,Sunday,JHARGRAM,16:12:04,Tuesday
8018,JGM-KGP MEMU,1420,JHARGRAM,00:14:56,Tuesday,KHARAGPUR,11:41:17,Saturday
8035,BLS - KGP DE,2568,KHARAGPUR,16:52:19,Saturday,BALASORE,04:32:19,Saturday
8036,BLS - KGP ME,672,BALASORE,16:43:27,Sunday,KHARAGPUR,08:09:24,Monday
8051,KGP JGM MEMU,1419,KHARAGPUR,02:00:28,Thursday,JHARGRAM,22:03:19,Monday
8052,JGM KGP MEMU,1430,JHARGRAM,07:51:33,Saturday,KHARAGPUR,20:57:28,Monday
8061,SHM JP SPL W,1869,SHALIMAR,22:54:05,Friday,JAIPUR JN.,01:34:07,Saturday
8062,JP SHM SPL W,2015,JAIPUR JN.,13:44:00,Wednesday,SHALIMAR,21:53:48,Wednesday
8063,KGP-BQA DEMU,632,KHARAGPUR,20:09:19,Sunday,BANKURA,08:35:33,Friday
8064,BQA-KGP DEMU,2959,BANKURA,10:36:28,Monday,KHARAGPUR,12:56:06,Sunday
8065,KGP-BQA MEMU,2751,KHARAGPUR,23:18:31,Tuesday,BANKURA,02:18:55,Wednesday
8082,BQA-VSU MEMU,2476,BANKURA,07:12:44,Sunday,BISHNUPUR,10:24:08,Thursday
8087,VSU-BQA MEMU,1182,BISHNUPUR,00:53:54,Wednesday,BANKURA,02:56:06,Thursday
8101,CBSA CKP DEM,724,CHAIBASA,09:53:49,Friday,CHAKARADHARPUR,01:38:10,Saturday
